rid;source_column_name;source_column_index;column_title;lang
5d742d09-4c77-4da9-a274-e071a80f778b;swap;27055;while starry near;retina
a4099110-5c7b-4a5f-b933-0ec65b0c5df5;jubilantly rush;15530;gosh hmph mortality;joshingly aha
a88e3e16-9c64-42c4-b42c-5128f7acb35e;comprehension academic recklessly;18452;pungent mid;hairy since reprieve
13e84226-39b2-44f0-b0cf-f295894dc277;reflecting;8218;down adapt step-aunt;aw cry generosity
8ff2f64a-0099-4171-962f-0ffc882739f2;hydrocarbon eek instead;31145;frenetically after;underneath
2303c0a4-2a9a-4471-8eb2-92f8bb3a28a7;slur ack lest;20785;without understated um;however
29253684-cfd9-4436-b218-b975cee8dc1c;trespass bail excommunicate;29859;inasmuch inasmuch honeydew;amid defraud through
04291c11-c6fc-4251-9dc1-550ee8db9e27;never painfully;21838;afore tomorrow;familiarise circadian
d8fa581c-0494-4e91-8d2a-67809fa45bf4;worth opposite hit;16516;bike;where icecream
ba126667-0f04-4261-8ede-64a3c5f940b2;round;7566;woot spur career;contend pfft uh-huh
