rid;name;type;value;conversion_rule
e2989317-db62-40c6-8b00-0b2d4a735e61;finally sing;hourly wrangle beside;once;trivialize
112549c0-8a18-42b0-86d1-7a3234869a2f;impure magnetize stepmother;inter what;oily aha regularly;under ew fatal
2ceda935-4cf6-4de4-be89-fae97af977ba;than fair;supposing;owlishly;whoever
f984240f-6cb1-4aef-9583-371a97eaed6c;excepting;root ha;geez;drat
27385fee-c6fa-4054-b7f3-b524c8689ed6;mortally animated;boss;zowie worthless allergist;until lambaste
766c0eae-c28d-409b-a181-fd0ca64b442e;on;while;how lily;profuse dally jogging
b51e580a-8834-4cf8-97be-50980a1065db;hemp deeply officially;willfully boastfully;equivocate reassuringly;warped
34ac6fe6-ea68-419c-84dc-ab1c5c2195dd;boo atop;often psst if;supposing pro mission;how overconfidently letter
b02771f8-d2b6-4e2c-ad78-5740ca855cbe;aw;on;officially outdistance noun;psst zowie overconfidently
c989a3b1-f824-403e-a25c-39c1523a3f82;delightful afore brightly;spare silently embargo;know behind gadzooks;plus till knavishly
